,post_id,product_id,brand,product_name,price,details
0,SKECHERS_1622400297,3053593914682900,SKECHERS,"Skechers Relaxed Fit: Expected 2.0 - Arago, Taupe",$80.00,"
A favorite casual style gets a comfort upgrade in the SKECHERS Relaxed Fit®: Expected 2.0 - Arago shoe. Soft woven knit mesh fabric and smooth synthetic upper in a slip on casual comfort loafer moc with knit-in accents. Air-Cooled Memory Foam insole.
- Color: Taupe
- Gender: Male
- Size: 9.5"
1,SKECHERS_1622400297,6511058942253707,SKECHERS,"Skechers Relaxed Fit: Creston - Backlot, Khaki",$70.00,"
Make a laid-back style favorite even easier to comfortably wear with the SKECHERS Relaxed Fit®: Creston - Backlot shoe. Soft woven canvas fabric upper in a slip on low backed casual comfort loafer clog with stitching and overlay accents. Air-Cooled Memory Foam insole.
- Color: Khaki
- Gender: Male
- Size: 12.0"
2,SKECHERS_1620057786,4400051070019160,SKECHERS,"Skechers x JGoldcrown: D'Lites Crystal - Love Perfect, White / Multi",$105.00,"
Internationally renowned muralist James Goldcrown brings his iconic #Lovewall heart designs to Skechers in this inspiring collaboration. Get perfectly cute style with the Skechers x JGoldcrown: D'Lites® - Love Perfect shoe. This fashion athletic lace-up sneaker features the artistâs signature heart design, leather and synthetic upper and cushioned Air-Cooled Memory Foam® insole.
- Color: White / Multi
- Gender: Female
- Size: 6.5"
3,SKECHERS_1618243859,3041930692592052,SKECHERS,"Skechers Razor - Breakline, Taupe",$90.00,"
Always keep your style sharp and comfortable with the Mark Nason Los Angeles Razor - Breakline shoe. Soft smooth premium nubuck leather upper in a slip on casual sneaker with perforation detail, vulcanized midsole and Memory Foam Lux insole.
- Color: Taupe
- Gender: Male
- Size: 7.5"
4,SKECHERS_1618156942,3041930692592052,SKECHERS,"Skechers Razor - Breakline, Taupe",$90.00,"
Always keep your style sharp and comfortable with the Mark Nason Los Angeles Razor - Breakline shoe. Soft smooth premium nubuck leather upper in a slip on casual sneaker with perforation detail, vulcanized midsole and Memory Foam Lux insole.
- Color: Taupe
- Gender: Male
- Size: 7.5"
5,SKECHERS_1618070795,3433538686756940,SKECHERS,"Skechers BOBS Desert Kiss - Adobe Princess, Brick",$50.00,"
Get styled for fun under the sun with the BOBS from Skechers Desert Kiss - Adobe Princess sandal. This strappy comfort sandal features a canvas upper with frayed details and a cushioned Memory Foam footbed.
- Color: Brick
- Gender: Female
- Size: 9.0"
6,SKECHERS_1617385121,4273329422679203,SKECHERS,"Skechers Dr. Seuss: V'Lites 2 - Don't Give Up, Blue / Orange",$65.00,"
Make your voice heard and get inspired with the Skechers x Dr. Seuss: V'Lites 2 - Don't Give Up shoe. Soft woven canvas fabric upper in a lace up casual fashion sneaker with 'Horton Hears a Who!' inspired side print design and detailing. Vulcanized-look midsole and Air-Cooled Memory Foam insole.
- Color: Blue / Orange
- Gender: Female
- Size: 8.0"
7,SKECHERS_1617304518,3527241057395229,SKECHERS,"Skechers Uno - Pearl Queen, White",$75.00,"
Classic sporty style meets a glam update in the Skechers Street Uno â Pearl Queen shoe. This lace-up fashion sneaker features a pearlized synthetic and perforated trimmed upper, Air-Cooled Memory Foam® insole, and a platform wedge with visible Skech-Air® air-cushioned midsole.
- Color: White
- Gender: Female
- Size: 8.5"
8,SKECHERS_1617222636,5839378379421422,SKECHERS,"Skechers PUNKROSE: Volt'd - Anything Goes, Multi",$55.00,"
Mix things up in striking fashion with the PUNKROSE: Volt'd - Anything Goes shoe. This casual slip-on sneaker features a bold dual print canvas upper with a vulcanized midsole and cushioned Air-Cooled Memory Foam® comfort insole.
- Color: Multi
- Gender: Female
- Size: 8.5"
9,SKECHERS_1617215634,5839378379421422,SKECHERS,"Skechers PUNKROSE: Volt'd - Anything Goes, Multi",$55.00,"
Mix things up in striking fashion with the PUNKROSE: Volt'd - Anything Goes shoe. This casual slip-on sneaker features a bold dual print canvas upper with a vulcanized midsole and cushioned Air-Cooled Memory Foam® comfort insole.
- Color: Multi
- Gender: Female
- Size: 8.5"
10,SKECHERS_1617035744,5312848108733004,SKECHERS,"Skechers GOwalk Arch Fit - Grateful, Navy / White",$85.00,"
Your feet will enjoy those long walks in supportive comfort wearing the Skechers GOwalk Arch Fit® - Grateful shoe. This slip-on style sneaker features an athletic mesh knit upper with removable Arch Fit® insole and a lightweight ULTRA GO® cushioned midsole.
- Color: Navy / White
- Gender: Female
- Size: 5.5"
11,SKECHERS_1617035744,3069294713108887,SKECHERS,"Skechers GOwalk Arch Fit - Iconic, Taupe/Brown",$85.00,"
Get all the support you need for your long walks with the Skechers GOwalk® Arch Fit® - Iconic shoe. Featuring a breathable athletic knit upper in a Stretch Fit® slip-on style sneaker with removable Arch Fit® insole and a lightweight ULTRA GO® cushioned midsole.
- Color: Taupe/Brown
- Gender: Male
- Size: 10.5"
12,SKECHERS_1616786352,5193622554044454,SKECHERS,"Skechers The Method - Oliver, Taupe",$85.00,"
Get more style out of your slipon with the Mark Nason Los Angeles The Method - Oliver shoe. Soft smooth suede upper in a slip on loafer styled sneaker moc with cushioned Memory Foam insole.
- Color: Taupe
- Gender: Male
- Size: 8.5"
13,SKECHERS_1616691600,3587587008034817,SKECHERS,"Skechers GOwalk Arch Fit - True Vision, Black/Pink",$90.00,"
Walk the extra mile in supportive comfort with the Skechers GOwalk Arch Fit® - True Vision shoe. This lace-up sneaker features a breathable athletic mesh and synthetic upper with removable Arch Fit® insole and lightweight ULTRA GO® cushioned midsole.
- Color: Black/Pink
- Gender: Female
- Size: 6.5"
14,SKECHERS_1616515703,3433385513378593,SKECHERS,"Skechers Court Striker, White / Red",$49.99,"
A clean, classic look comes with updated comfort features in the SKECHERS Court Striker shoe. Smooth clean synthetic and leather upper in a lace up classic casual heritage style court sneaker with stitching, perforation and overlay accents. Fabric heel overlay panel, Air-Cooled Memory Foam insole.
- Color: White / Red
- Gender: Male
- Size: 12.0"
